"","QUANTITYORDERED","PRICEEACH","ORDERDATE","MONTH_ID","YEAR_ID","PRODUCTLINE","CUSTOMERNAME","CITY","STATE","COUNTRY"
"19",46,94.74,"11/2/2004 0:00",11,2004,"Motorcycles","Diecast Classics Inc.","Allentown","PA","USA"
"20",42,100,"11/15/2004 0:00",11,2004,"Motorcycles","Land of Toys Inc.","NYC","NY","USA"
"21",41,100,"11/24/2004 0:00",11,2004,"Motorcycles","Salzburg Collectables","Salzburg","","Austria"
"22",20,72.55,"12/17/2004 0:00",12,2004,"Motorcycles","Souveniers And Things Co.","Chatswood","NSW","Australia"
"23",21,34.91,"2/3/2005 0:00",2,2005,"Motorcycles","La Rochelle Gifts","Nantes","","France"
"24",42,76.36,"3/3/2005 0:00",3,2005,"Motorcycles","FunGiftIdeas.com","New Bedford","MA","USA"
"25",24,100,"4/8/2005 0:00",4,2005,"Motorcycles","UK Collectables, Ltd.","Liverpool","","UK"
"26",66,100,"5/13/2005 0:00",5,2005,"Motorcycles","Euro Shopping Channel","Madrid","","Spain"
"27",26,100,"1/29/2003 0:00",1,2003,"Classic Cars","Baane Mini Imports","Stavern","","Norway"
"28",29,100,"3/24/2003 0:00",3,2003,"Classic Cars","Volvo Model Replicas, Co","Lule","","Sweden"
"29",38,100,"5/28/2003 0:00",5,2003,"Classic Cars","Corrida Auto Replicas, Ltd","Madrid","","Spain"
"30",37,100,"7/24/2003 0:00",7,2003,"Classic Cars","Technics Stores Inc.","Burlingame","CA","USA"
"31",45,100,"9/19/2003 0:00",9,2003,"Classic Cars","Dragon Souveniers, Ltd.","Singapore","","Singapore"
"32",21,100,"10/20/2003 0:00",10,2003,"Classic Cars","Classic Legends Inc.","NYC","NY","USA"
"33",34,100,"11/6/2003 0:00",11,2003,"Classic Cars","Australian Gift Network, Co","South Brisbane","Queensland","Australia"
"34",23,100,"11/13/2003 0:00",11,2003,"Classic Cars","Classic Gift Ideas, Inc","Philadelphia","PA","USA"
"35",42,100,"11/25/2003 0:00",11,2003,"Classic Cars","Saveley & Henriot, Co.","Lyon","","France"
"36",47,100,"12/5/2003 0:00",12,2003,"Classic Cars","Canadian Gift Exchange Network","Vancouver","BC","Canada"
"37",35,100,"1/29/2004 0:00",1,2004,"Classic Cars","West Coast Collectables Co.","Burbank","CA","USA"
"38",29,100,"3/10/2004 0:00",3,2004,"Classic Cars","Cambridge Collectables Co.","Cambridge","MA","USA"
"39",34,100,"5/4/2004 0:00",5,2004,"Classic Cars","Super Scale Inc.","New Haven","CT","USA"
"40",32,100,"6/15/2004 0:00",6,2004,"Classic Cars","Tokyo Collectables, Ltd","Minato-ku","Tokyo","Japan"
"41",21,100,"7/19/2004 0:00",7,2004,"Classic Cars","Souveniers And Things Co.","Chatswood","NSW","Australia"
"42",34,100,"8/17/2004 0:00",8,2004,"Classic Cars","Amica Models & Co.","Torino","","Italy"
"43",37,100,"9/8/2004 0:00",9,2004,"Classic Cars","Scandinavian Gift Ideas","Boras","","Sweden"
"44",47,100,"10/11/2004 0:00",10,2004,"Classic Cars","Auto Assoc. & Cie.","Versailles","","France"
"45",48,100,"10/21/2004 0:00",10,2004,"Classic Cars","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"46",40,100,"11/4/2004 0:00",11,2004,"Classic Cars","Online Diecast Creations Co.","Nashua","NH","USA"
"47",26,100,"11/18/2004 0:00",11,2004,"Classic Cars","Mini Wheels Co.","San Francisco","CA","USA"
"48",30,100,"11/29/2004 0:00",11,2004,"Classic Cars","Australian Collectors, Co.","Melbourne","Victoria","Australia"
"49",32,100,"12/10/2004 0:00",12,2004,"Classic Cars","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"50",41,100,"1/20/2005 0:00",1,2005,"Classic Cars","Collectables For Less Inc.","Brickhaven","MA","USA"
"51",36,100,"2/17/2005 0:00",2,2005,"Classic Cars","Corporate Gift Ideas Co.","San Francisco","CA","USA"
"52",24,100,"3/9/2005 0:00",3,2005,"Classic Cars","Anna's Decorations, Ltd","North Sydney","NSW","Australia"
"53",23,100,"5/1/2005 0:00",5,2005,"Classic Cars","Quebec Home Shopping Network","Montreal","Quebec","Canada"
"54",50,100,"5/31/2005 0:00",5,2005,"Classic Cars","Euro Shopping Channel","Madrid","","Spain"
"55",39,99.91,"2/24/2003 0:00",2,2003,"Motorcycles","Land of Toys Inc.","NYC","NY","USA"
"56",29,96.34,"4/29/2003 0:00",4,2003,"Motorcycles","Australian Collectors, Co.","Melbourne","Victoria","Australia"
"57",27,100,"7/1/2003 0:00",7,2003,"Motorcycles","Lyon Souveniers","Paris","","France"
"58",37,100,"8/25/2003 0:00",8,2003,"Motorcycles","Toys4GrownUps.com","Pasadena","CA","USA"
"59",37,100,"10/10/2003 0:00",10,2003,"Motorcycles","Corporate Gift Ideas Co.","San Francisco","CA","USA"
"60",27,100,"10/28/2003 0:00",10,2003,"Motorcycles","Technics Stores Inc.","Burlingame","CA","USA"
"61",42,100,"11/11/2003 0:00",11,2003,"Motorcycles","Daedalus Designs Imports","Lille","","France"
"62",38,96.34,"11/18/2003 0:00",11,2003,"Motorcycles","Herkku Gifts","Bergen","","Norway"
"63",24,100,"12/1/2003 0:00",12,2003,"Motorcycles","Mini Wheels Co.","San Francisco","CA","USA"
"64",23,100,"1/12/2004 0:00",1,2004,"Motorcycles","Osaka Souveniers Co.","Osaka","Osaka","Japan"
"65",47,100,"2/20/2004 0:00",2,2004,"Motorcycles","Australian Collectors, Co.","Melbourne","Victoria","Australia"
"66",22,100,"4/3/2004 0:00",4,2004,"Motorcycles","Motor Mint Distributors Inc.","Philadelphia","PA","USA"
"67",44,100,"5/18/2004 0:00",5,2004,"Motorcycles","Tekni Collectables Inc.","Newark","NJ","USA"
"68",40,100,"6/28/2004 0:00",6,2004,"Motorcycles","Gift Depot Inc.","Bridgewater","CT","USA"
"69",22,100,"7/23/2004 0:00",7,2004,"Motorcycles","La Rochelle Gifts","Nantes","","France"
"70",47,100,"8/27/2004 0:00",8,2004,"Motorcycles","Marta's Replicas Co.","Cambridge","MA","USA"
"71",39,96.34,"9/27/2004 0:00",9,2004,"Motorcycles","Atelier graphique","Nantes","","France"
"72",34,100,"10/15/2004 0:00",10,2004,"Motorcycles","Mini Classics","White Plains","NY","USA"
"73",45,100,"11/2/2004 0:00",11,2004,"Motorcycles","Diecast Classics Inc.","Allentown","PA","USA"
"74",20,100,"11/15/2004 0:00",11,2004,"Motorcycles","Land of Toys Inc.","NYC","NY","USA"
"75",40,68.92,"11/23/2004 0:00",11,2004,"Motorcycles","Tokyo Collectables, Ltd","Minato-ku","Tokyo","Japan"
"76",26,51.15,"12/17/2004 0:00",12,2004,"Motorcycles","Souveniers And Things Co.","Chatswood","NSW","Australia"
"77",39,100,"2/2/2005 0:00",2,2005,"Motorcycles","Australian Gift Network, Co","South Brisbane","Queensland","Australia"
"78",50,44.51,"3/3/2005 0:00",3,2005,"Motorcycles","FunGiftIdeas.com","New Bedford","MA","USA"
"79",45,100,"4/7/2005 0:00",4,2005,"Motorcycles","Auto Canal Petit","Paris","","France"
"80",45,100,"5/13/2005 0:00",5,2005,"Motorcycles","Euro Shopping Channel","Madrid","","Spain"
"81",27,100,"2/24/2003 0:00",2,2003,"Motorcycles","Land of Toys Inc.","NYC","NY","USA"
"82",46,100,"4/29/2003 0:00",4,2003,"Motorcycles","Australian Collectors, Co.","Melbourne","Victoria","Australia"
"83",31,100,"7/1/2003 0:00",7,2003,"Motorcycles","Lyon Souveniers","Paris","","France"
"84",33,100,"8/25/2003 0:00",8,2003,"Motorcycles","Toys4GrownUps.com","Pasadena","CA","USA"
"85",22,100,"10/10/2003 0:00",10,2003,"Motorcycles","Corporate Gift Ideas Co.","San Francisco","CA","USA"
"86",20,100,"10/28/2003 0:00",10,2003,"Motorcycles","Technics Stores Inc.","Burlingame","CA","USA"
"87",41,100,"11/11/2003 0:00",11,2003,"Motorcycles","Daedalus Designs Imports","Lille","","France"
"88",45,100,"11/18/2003 0:00",11,2003,"Motorcycles","Herkku Gifts","Bergen","","Norway"
"89",49,100,"12/1/2003 0:00",12,2003,"Motorcycles","Mini Wheels Co.","San Francisco","CA","USA"
"90",34,100,"1/12/2004 0:00",1,2004,"Motorcycles","Osaka Souveniers Co.","Osaka","Osaka","Japan"
"91",49,100,"2/20/2004 0:00",2,2004,"Motorcycles","Australian Collectors, Co.","Melbourne","Victoria","Australia"
"92",39,100,"4/5/2004 0:00",4,2004,"Motorcycles","Vitachrome Inc.","NYC","NY","USA"
"93",43,100,"5/18/2004 0:00",5,2004,"Motorcycles","Tekni Collectables Inc.","Newark","NJ","USA"
"94",41,100,"6/28/2004 0:00",6,2004,"Motorcycles","Gift Depot Inc.","Bridgewater","CT","USA"
"95",36,100,"7/23/2004 0:00",7,2004,"Motorcycles","La Rochelle Gifts","Nantes","","France"
"96",27,100,"8/27/2004 0:00",8,2004,"Motorcycles","Marta's Replicas Co.","Cambridge","MA","USA"
"97",29,100,"9/30/2004 0:00",9,2004,"Motorcycles","Toys of Finland, Co.","Helsinki","","Finland"
"98",20,100,"10/15/2004 0:00",10,2004,"Motorcycles","Mini Classics","White Plains","NY","USA"
"99",37,100,"11/2/2004 0:00",11,2004,"Motorcycles","Diecast Classics Inc.","Allentown","PA","USA"
"100",26,100,"11/15/2004 0:00",11,2004,"Motorcycles","Land of Toys Inc.","NYC","NY","USA"
"101",39,76.67,"11/23/2004 0:00",11,2004,"Motorcycles","Tokyo Collectables, Ltd","Minato-ku","Tokyo","Japan"
"102",22,100,"1/5/2005 0:00",1,2005,"Motorcycles","Technics Stores Inc.","Burlingame","CA","USA"
"103",22,100,"2/2/2005 0:00",2,2005,"Motorcycles","Australian Gift Network, Co","South Brisbane","Queensland","Australia"
"104",21,86.77,"3/3/2005 0:00",3,2005,"Motorcycles","FunGiftIdeas.com","New Bedford","MA","USA"
"105",66,100,"4/8/2005 0:00",4,2005,"Motorcycles","UK Collectables, Ltd.","Liverpool","","UK"
"106",56,100,"5/13/2005 0:00",5,2005,"Motorcycles","Euro Shopping Channel","Madrid","","Spain"
"107",50,100,"2/11/2003 0:00",2,2003,"Classic Cars","Danish Wholesale Imports","Kobenhavn","","Denmark"
"108",46,100,"4/28/2003 0:00",4,2003,"Classic Cars","Salzburg Collectables","Salzburg","","Austria"
"109",33,100,"6/12/2003 0:00",6,2003,"Classic Cars","Stylish Desk Decors, Co.","London","","UK"
"110",49,100,"8/10/2003 0:00",8,2003,"Classic Cars","Mini Creations Ltd.","New Bedford","MA","USA"
"111",32,100,"10/6/2003 0:00",10,2003,"Classic Cars","Toys of Finland, Co.","Helsinki","","Finland"
"112",44,100,"10/23/2003 0:00",10,2003,"Classic Cars","Scandinavian Gift Ideas","Boras","","Sweden"
"113",24,100,"11/8/2003 0:00",11,2003,"Classic Cars","Alpha Cognac","Toulouse","","France"
"114",26,100,"11/14/2003 0:00",11,2003,"Classic Cars","Double Decker Gift Stores, Ltd","London","","UK"
"115",45,100,"11/26/2003 0:00",11,2003,"Classic Cars","Enaco Distributors","Barcelona","","Spain"
"116",39,100,"1/9/2004 0:00",1,2004,"Classic Cars","Men 'R' US Retailers, Ltd.","Los Angeles","CA","USA"
"117",49,100,"2/19/2004 0:00",2,2004,"Classic Cars","Collectable Mini Designs Co.","San Diego","CA","USA"
"118",20,100,"5/7/2004 0:00",5,2004,"Classic Cars","Land of Toys Inc.","NYC","NY","USA"
"119",27,100,"6/17/2004 0:00",6,2004,"Classic Cars","Quebec Home Shopping Network","Montreal","Quebec","Canada"
"120",30,100,"7/21/2004 0:00",7,2004,"Classic Cars","Petit Auto","Bruxelles","","Belgium"
"121",25,100,"8/20/2004 0:00",8,2004,"Classic Cars","Royal Canadian Collectables, Ltd.","Tsawassen","BC","Canada"
"122",24,100,"9/10/2004 0:00",9,2004,"Classic Cars","Gifts4AllAges.com","Boston","MA","USA"
"123",22,100,"10/14/2004 0:00",10,2004,"Classic Cars","Classic Gift Ideas, Inc","Philadelphia","PA","USA"
"124",33,100,"11/1/2004 0:00",11,2004,"Classic Cars","giftsbymail.co.uk","Cowes","Isle of Wight","UK"
"125",47,64.93,"11/5/2004 0:00",11,2004,"Classic Cars","Baane Mini Imports","Stavern","","Norway"
"126",25,48.05,"11/21/2004 0:00",11,2004,"Classic Cars","Classic Legends Inc.","NYC","NY","USA"
"127",26,75.47,"12/2/2004 0:00",12,2004,"Classic Cars","Euro Shopping Channel","Madrid","","Spain"
"128",48,54.68,"12/15/2004 0:00",12,2004,"Classic Cars","Reims Collectables","Reims","","France"
"129",39,100,"1/31/2005 0:00",1,2005,"Classic Cars","Oulu Toy Supplies, Inc.","Oulu","","Finland"
"130",34,100,"2/23/2005 0:00",2,2005,"Classic Cars","Corporate Gift Ideas Co.","San Francisco","CA","USA"
"131",32,100,"3/17/2005 0:00",3,2005,"Classic Cars","Lyon Souveniers","Paris","","France"
"132",64,100,"4/1/2005 0:00",4,2005,"Classic Cars","The Sharp Gifts Warehouse","San Jose","CA","USA"
"133",19,100,"5/6/2005 0:00",5,2005,"Classic Cars","Gifts4AllAges.com","Boston","MA","USA"
"134",42,100,"1/29/2003 0:00",1,2003,"Classic Cars","Baane Mini Imports","Stavern","","Norway"
"135",31,100,"4/1/2003 0:00",4,2003,"Classic Cars","La Corne D'abondance, Co.","Paris","","France"
"136",22,100,"5/28/2003 0:00",5,2003,"Classic Cars","Corrida Auto Replicas, Ltd","Madrid","","Spain"
"137",26,100,"7/24/2003 0:00",7,2003,"Classic Cars","Technics Stores Inc.","Burlingame","CA","USA"
"138",20,100,"9/19/2003 0:00",9,2003,"Classic Cars","Dragon Souveniers, Ltd.","Singapore","","Singapore"
"139",21,100,"10/21/2003 0:00",10,2003,"Classic Cars","Mini Auto Werke","Graz","","Austria"
"140",33,100,"11/6/2003 0:00",11,2003,"Classic Cars","Stylish Desk Decors, Co.","London","","UK"
"141",28,100,"11/13/2003 0:00",11,2003,"Classic Cars","Classic Gift Ideas, Inc","Philadelphia","PA","USA"
"142",26,100,"11/25/2003 0:00",11,2003,"Classic Cars","Saveley & Henriot, Co.","Lyon","","France"
"143",31,100,"12/9/2003 0:00",12,2003,"Classic Cars","Diecast Collectables","Boston","MA","USA"
"144",48,100,"2/4/2004 0:00",2,2004,"Classic Cars","Handji Gifts& Co","Singapore","","Singapore"
"145",50,100,"3/11/2004 0:00",3,2004,"Classic Cars","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"146",28,100,"5/4/2004 0:00",5,2004,"Classic Cars","Super Scale Inc.","New Haven","CT","USA"
"147",26,100,"6/15/2004 0:00",6,2004,"Classic Cars","Handji Gifts& Co","Singapore","","Singapore"
"148",32,100,"7/19/2004 0:00",7,2004,"Classic Cars","Souveniers And Things Co.","Chatswood","NSW","Australia"
"149",44,100,"8/19/2004 0:00",8,2004,"Classic Cars","Diecast Classics Inc.","Allentown","PA","USA"
"150",30,100,"9/8/2004 0:00",9,2004,"Classic Cars","Scandinavian Gift Ideas","Boras","","Sweden"
"151",38,100,"10/13/2004 0:00",10,2004,"Classic Cars","Marta's Replicas Co.","Cambridge","MA","USA"
"152",40,100,"10/22/2004 0:00",10,2004,"Classic Cars","Canadian Gift Exchange Network","Vancouver","BC","Canada"
"153",46,61.99,"11/4/2004 0:00",11,2004,"Classic Cars","Online Diecast Creations Co.","Nashua","NH","USA"
"154",26,100,"11/19/2004 0:00",11,2004,"Classic Cars","Volvo Model Replicas, Co","Lule","","Sweden"
"155",27,100,"11/29/2004 0:00",11,2004,"Classic Cars","Australian Collectors, Co.","Melbourne","Victoria","Australia"
"156",43,100,"12/10/2004 0:00",12,2004,"Classic Cars","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"157",35,65.63,"1/20/2005 0:00",1,2005,"Classic Cars","Anna's Decorations, Ltd","North Sydney","NSW","Australia"
"158",37,100,"2/17/2005 0:00",2,2005,"Classic Cars","Corporate Gift Ideas Co.","San Francisco","CA","USA"
"159",37,46.9,"3/9/2005 0:00",3,2005,"Classic Cars","Anna's Decorations, Ltd","North Sydney","NSW","Australia"
"160",27,100,"5/1/2005 0:00",5,2005,"Classic Cars","Quebec Home Shopping Network","Montreal","Quebec","Canada"
"161",38,100,"5/31/2005 0:00",5,2005,"Classic Cars","La Rochelle Gifts","Nantes","","France"
"162",33,100,"3/3/2003 0:00",3,2003,"Classic Cars","Cruz & Sons Co.","Makati City","","Philippines"
"163",42,100,"5/8/2003 0:00",5,2003,"Classic Cars","Marseille Mini Autos","Marseille","","France"
"164",42,100,"7/2/2003 0:00",7,2003,"Classic Cars","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"165",48,100,"9/5/2003 0:00",9,2003,"Classic Cars","Collectables For Less Inc.","Brickhaven","MA","USA"
"166",41,100,"10/10/2003 0:00",10,2003,"Classic Cars","Corporate Gift Ideas Co.","San Francisco","CA","USA"
"167",30,100,"11/4/2003 0:00",11,2003,"Classic Cars","Anna's Decorations, Ltd","North Sydney","NSW","Australia"
"168",27,100,"11/12/2003 0:00",11,2003,"Classic Cars","Herkku Gifts","Bergen","","Norway"
"169",21,100,"11/20/2003 0:00",11,2003,"Classic Cars","Toms Spezialitten, Ltd","Koln","","Germany"
"170",20,100,"12/2/2003 0:00",12,2003,"Classic Cars","Euro Shopping Channel","Madrid","","Spain"
"171",41,100,"1/15/2004 0:00",1,2004,"Classic Cars","Auto Canal Petit","Paris","","France"
"172",27,100,"2/22/2004 0:00",2,2004,"Classic Cars","Vida Sport, Ltd","Gensve","","Switzerland"
"173",28,100,"4/9/2004 0:00",4,2004,"Classic Cars","Danish Wholesale Imports","Kobenhavn","","Denmark"
"174",24,100,"6/1/2004 0:00",6,2004,"Classic Cars","UK Collectables, Ltd.","Liverpool","","UK"
"175",44,100,"7/6/2004 0:00",7,2004,"Classic Cars","L'ordine Souveniers","Reggio Emilia","","Italy"
"176",50,100,"8/2/2004 0:00",8,2004,"Classic Cars","Online Mini Collectables","Brickhaven","MA","USA"
"177",21,100,"8/30/2004 0:00",8,2004,"Classic Cars","Vida Sport, Ltd","Gensve","","Switzerland"
"178",33,100,"10/4/2003 0:00",10,2003,"Classic Cars","Blauer See Auto, Co.","Frankfurt","","Germany"
"179",33,100,"10/16/2004 0:00",10,2004,"Classic Cars","Toms Spezialitten, Ltd","Koln","","Germany"
"180",31,100,"11/3/2004 0:00",11,2004,"Classic Cars","Volvo Model Replicas, Co","Lule","","Sweden"
"181",41,71.47,"11/15/2004 0:00",11,2004,"Classic Cars","Land of Toys Inc.","NYC","NY","USA"
"182",45,79.65,"11/24/2004 0:00",11,2004,"Classic Cars","Salzburg Collectables","Salzburg","","Austria"
"183",33,85.39,"1/6/2005 0:00",1,2005,"Classic Cars","Suominen Souveniers","Espoo","","Finland"
"184",45,76,"2/3/2005 0:00",2,2005,"Classic Cars","La Rochelle Gifts","Nantes","","France"
"185",26,99.04,"3/3/2005 0:00",3,2005,"Classic Cars","Scandinavian Gift Ideas","Boras","","Sweden"
"186",12,100,"5/17/2005 0:00",5,2005,"Classic Cars","Salzburg Collectables","Salzburg","","Austria"
"187",41,100,"2/11/2003 0:00",2,2003,"Classic Cars","Danish Wholesale Imports","Kobenhavn","","Denmark"
"188",33,100,"4/16/2003 0:00",4,2003,"Classic Cars","Dragon Souveniers, Ltd.","Singapore","","Singapore"
"189",46,100,"6/3/2003 0:00",6,2003,"Classic Cars","Muscle Machine Inc","NYC","NY","USA"
"190",33,100,"8/8/2003 0:00",8,2003,"Classic Cars","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"191",20,100,"9/28/2003 0:00",9,2003,"Classic Cars","Euro Shopping Channel","Madrid","","Spain"
"192",44,100,"10/22/2003 0:00",10,2003,"Classic Cars","Dragon Souveniers, Ltd.","Singapore","","Singapore"
"193",33,100,"11/6/2003 0:00",11,2003,"Classic Cars","L'ordine Souveniers","Reggio Emilia","","Italy"
"194",21,100,"11/14/2003 0:00",11,2003,"Classic Cars","Mini Creations Ltd.","New Bedford","MA","USA"
"195",47,100,"11/26/2003 0:00",11,2003,"Classic Cars","Super Scale Inc.","New Haven","CT","USA"
"196",46,100,"1/2/2004 0:00",1,2004,"Classic Cars","Saveley & Henriot, Co.","Lyon","","France"
"197",32,100,"2/12/2004 0:00",2,2004,"Classic Cars","Clover Collections, Co.","Dublin","","Ireland"
"198",42,100,"3/19/2004 0:00",3,2004,"Classic Cars","CAF Imports","Madrid","","Spain"
"199",44,100,"5/5/2004 0:00",5,2004,"Classic Cars","Suominen Souveniers","Espoo","","Finland"
"200",35,100,"7/20/2004 0:00",7,2004,"Classic Cars","Diecast Classics Inc.","Allentown","PA","USA"
"201",41,100,"8/20/2004 0:00",8,2004,"Classic Cars","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"202",46,100,"9/9/2004 0:00",9,2004,"Classic Cars","Amica Models & Co.","Torino","","Italy"
"203",31,100,"10/14/2004 0:00",10,2004,"Classic Cars","AV Stores, Co.","Manchester","","UK"
"204",38,100,"10/22/2004 0:00",10,2004,"Classic Cars","Heintze Collectables","Aaarhus","","Denmark"
"205",42,64,"11/5/2004 0:00",11,2004,"Classic Cars","Baane Mini Imports","Stavern","","Norway"
"206",33,57.22,"11/20/2004 0:00",11,2004,"Classic Cars","La Corne D'abondance, Co.","Paris","","France"
"207",48,52.36,"11/1/2004 0:00",11,2004,"Classic Cars","Corrida Auto Replicas, Ltd","Madrid","","Spain"
"208",42,100,"12/15/2004 0:00",12,2004,"Classic Cars","Reims Collectables","Reims","","France"
"209",32,100,"1/23/2005 0:00",1,2005,"Classic Cars","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"210",34,100,"2/17/2005 0:00",2,2005,"Classic Cars","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"211",33,69.12,"3/17/2005 0:00",3,2005,"Classic Cars","Lyon Souveniers","Paris","","France"
"212",36,100,"5/5/2005 0:00",5,2005,"Classic Cars","Gift Depot Inc.","Bridgewater","CT","USA"
"213",27,100,"1/29/2003 0:00",1,2003,"Trucks and Buses","Baane Mini Imports","Stavern","","Norway"
"214",21,100,"3/26/2003 0:00",3,2003,"Trucks and Buses","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"215",21,100,"5/28/2003 0:00",5,2003,"Trucks and Buses","Corrida Auto Replicas, Ltd","Madrid","","Spain"
"216",38,100,"7/24/2003 0:00",7,2003,"Trucks and Buses","Technics Stores Inc.","Burlingame","CA","USA"
"217",30,100,"9/19/2003 0:00",9,2003,"Trucks and Buses","Dragon Souveniers, Ltd.","Singapore","","Singapore"
"218",49,100,"10/21/2003 0:00",10,2003,"Trucks and Buses","Mini Auto Werke","Graz","","Austria"
"219",43,100,"11/6/2003 0:00",11,2003,"Trucks and Buses","Australian Gift Network, Co","South Brisbane","Queensland","Australia"
"220",41,100,"11/13/2003 0:00",11,2003,"Trucks and Buses","Classic Gift Ideas, Inc","Philadelphia","PA","USA"
"221",38,100,"11/25/2003 0:00",11,2003,"Trucks and Buses","Saveley & Henriot, Co.","Lyon","","France"
"222",28,100,"12/5/2003 0:00",12,2003,"Trucks and Buses","Canadian Gift Exchange Network","Vancouver","BC","Canada"
"223",43,100,"2/2/2004 0:00",2,2004,"Trucks and Buses","Auto Assoc. & Cie.","Versailles","","France"
"224",25,100,"3/11/2004 0:00",3,2004,"Trucks and Buses","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"225",38,100,"5/4/2004 0:00",5,2004,"Trucks and Buses","Super Scale Inc.","New Haven","CT","USA"
"226",41,100,"6/15/2004 0:00",6,2004,"Trucks and Buses","Tokyo Collectables, Ltd","Minato-ku","Tokyo","Japan"
"227",28,100,"7/19/2004 0:00",7,2004,"Trucks and Buses","Souveniers And Things Co.","Chatswood","NSW","Australia"
"228",25,100,"8/19/2004 0:00",8,2004,"Trucks and Buses","Diecast Classics Inc.","Allentown","PA","USA"
"229",41,100,"9/8/2004 0:00",9,2004,"Trucks and Buses","Scandinavian Gift Ideas","Boras","","Sweden"
"230",39,100,"10/11/2004 0:00",10,2004,"Trucks and Buses","Auto Assoc. & Cie.","Versailles","","France"
"231",21,100,"10/22/2004 0:00",10,2004,"Trucks and Buses","Canadian Gift Exchange Network","Vancouver","BC","Canada"
"232",27,100,"11/4/2004 0:00",11,2004,"Trucks and Buses","Online Diecast Creations Co.","Nashua","NH","USA"
"233",33,99.21,"11/18/2004 0:00",11,2004,"Trucks and Buses","Mini Wheels Co.","San Francisco","CA","USA"
"234",29,100,"11/29/2004 0:00",11,2004,"Trucks and Buses","Australian Collectors, Co.","Melbourne","Victoria","Australia"
"235",49,100,"12/10/2004 0:00",12,2004,"Trucks and Buses","Mini Gifts Distributors Ltd.","San Rafael","CA","USA"
"236",49,100,"1/20/2005 0:00",1,2005,"Trucks and Buses","Anna's Decorations, Ltd","North Sydney","NSW","Australia"
"237",20,100,"2/17/2005 0:00",2,2005,"Trucks and Buses","Corporate Gift Ideas Co.","San Francisco","CA","USA"
"238",39,63.2,"3/9/2005 0:00",3,2005,"Trucks and Buses","Anna's Decorations, Ltd","North Sydney","NSW","Australia"
"239",40,100,"5/1/2005 0:00",5,2005,"Trucks and Buses","Quebec Home Shopping Network","Montreal","Quebec","Canada"
"240",49,100,"5/31/2005 0:00",5,2005,"Trucks and Buses","Euro Shopping Channel","Madrid","","Spain"
"241",21,100,"2/24/2003 0:00",2,2003,"Motorcycles","Land of Toys Inc.","NYC","NY","USA"
"242",50,100,"5/7/2003 0:00",5,2003,"Motorcycles","Reims Collectables","Reims","","France"
